Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,9.56140350877193,57.0,0.0,545.00,0.0,57.0,545.00,0.0,0.00,17.60,527.40,10,0,0,0,0,0,0,0
,,,DRINKS,,,,8.1875,32.0,0.5614035087719298,262.00,0.48073394495412847,32.0,262.00,0.0,0.00,5.80,256.20,9,0.9,0,0,0.5614035087719298,0,0,0.4857792946530148
200000001222293162,200000001222293161,,DRINKS,Drinks,,,3.50,2.0,0.0625,7.00,0.026717557251908396,2.0,7.00,0.0,0.00,0.60,6.40,2,0.2222222222222222,0,0.0625,0.03508771929824561,0,0.024980483996877443,0.012135001896094047
200000001222294432,200000001222294431,200000001222293162,DRINKS,Drinks,,Pepsi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294434,200000001222294433,200000001222293162,DRINKS,Drinks,,Diet Pepsi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294436,200000001222294435,200000001222293162,DRINKS,Drinks,,Ginger Ale,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294438,200000001222294437,200000001222293162,DRINKS,Drinks,,Sierra Mist,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294440,200000001222294439,200000001222293162,DRINKS,Drinks,,Tonic,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294442,200000001222294441,200000001222293162,DRINKS,Drinks,,Club Soda,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252522791,200000001252522790,200000001222293162,DRINKS,Drinks,,Saratoga Sparkling,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
