Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,12.710843373493976,83.0,0.0,1055.00,0.0,75.0,909.00,8.0,146.00,0.00,909.00,15,0,0,0,0,0,0,0
,,,DRINKS,,,,8.571428571428571,49.0,0.5903614457831325,420.00,0.3981042654028436,45.0,384.00,4.0,36.00,0.00,384.00,12,0.8,0,0,0.6,0,0,0.42244224422442245
200000001222293162,200000001222293161,,DRINKS,Drinks,,,3.60,5.0,0.10204081632653061,18.00,0.04285714285714286,5.0,18.00,0.0,0.00,0.00,18.00,3,0.25,0,0.1111111111111111,0.06666666666666667,0,0.046875,0.019801980198019802
200000001222294432,200000001222294431,200000001222293162,DRINKS,Drinks,,Pepsi,3.0,1.0,0.2,3.00,0.16666666666666666,1.0,3.00,0.0,0.00,0.00,3.00,1,0.3333333333333333,0.2,0.022222222222222223,0.013333333333333334,0.16666666666666666,0.0078125,0.0033003300330033004
200000001222294434,200000001222294433,200000001222293162,DRINKS,Drinks,,Diet Pepsi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294436,200000001222294435,200000001222293162,DRINKS,Drinks,,Ginger Ale,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294438,200000001222294437,200000001222293162,DRINKS,Drinks,,Sierra Mist,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294440,200000001222294439,200000001222293162,DRINKS,Drinks,,Tonic,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294442,200000001222294441,200000001222293162,DRINKS,Drinks,,Club Soda,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252522791,200000001252522790,200000001222293162,DRINKS,Drinks,,Saratoga Sparkling,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252526753,200000001252526752,200000001222293162,DRINKS,Drinks,,Saratoga Still,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294444,200000001222294443,200000001222293162,DRINKS,Drinks,,Coffee,4.0,3.0,0.6,12.00,0.6666666666666666,3.0,12.00,0.0,0.00,0.00,12.00,2,0.6666666666666666,0.6,0.06666666666666667,0.04,0.6666666666666666,0.03125,0.013201320132013201
200000001252566242,200000001252566241,200000001222293162,DRINKS,Drinks,,Decaf Coffee,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002290873215,200000002290873214,200000001222293162,DRINKS,Drinks,,Espresso,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002454077072,200000002454077071,200000001222293162,DRINKS,Drinks,,Double Espresso,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002448157978,200000002448157977,200000001222293162,DRINKS,Drinks,,Cappuccino,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252539147,200000001252539146,200000001222293162,DRINKS,Drinks,,Pineapple,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001222294446,200000001222294445,200000001222293162,DRINKS,Drinks,,Hot Tea,3.0,1.0,0.2,3.00,0.16666666666666666,1.0,3.00,0.0,0.00,0.00,3.00,1,0.3333333333333333,0.2,0.022222222222222223,0.013333333333333334,0.16666666666666666,0.0078125,0.0033003300330033004
200000001222294448,200000001222294447,200000001222293162,DRINKS,Drinks,,Iced Tea,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252539143,200000001252539142,200000001222293162,DRINKS,Drinks,,Cranberry,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252539145,200000001252539144,200000001222293162,DRINKS,Drinks,,Orange,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252539149,200000001252539148,200000001222293162,DRINKS,Drinks,,Grapefruit,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252573815,200000001252573814,200000001222293162,DRINKS,Drinks,,Tomato Juice,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004447034681,200000004447034680,200000001222293162,DRINKS,Drinks,,Lemonade,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004509852080,200000004509852079,200000001222293162,DRINKS,Drinks,,Milk,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001598827306,200000001598827305,200000001222293162,DRINKS,Drinks,,Pepsi refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001598827308,200000001598827307,200000001222293162,DRINKS,Drinks,,Diet refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001598827310,200000001598827309,200000001222293162,DRINKS,Drinks,,Sierra mist refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001598827312,200000001598827311,200000001222293162,DRINKS,Drinks,,Ginger ale refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
